120,121,122,122,122,122,122,122,122,122,122,122,122,122,121,122,122,122,122,122,122,122,122,122,122,123
142,143,143,144,143,144,143,144,143,144,143,78,79,144,143,144,143,144,143,144,143,144,143,144,143,145
142,144,143,143,143,144,144,144,27,28,143,144,143,78,79,144,143,143,144,79,143,144,143,143,144,145
142,144,143,144,143,144,143,144,49,50,143,144,143,144,143,143,144,144,144,78,79,79,143,78,79,145
142,144,143,144,144,78,79,79,49,50,78,79,143,144,29,30,31,78,79,143,144,144,143,144,144,145
142,144,78,79,79,143,144,79,49,50,143,144,143,144,51,52,53,143,144,108,109,143,144,144,144,145
142,144,29,30,31,78,143,144,49,50,143,144,79,79,73,74,75,78,143,144,144,144,144,144,144,145
142,144,51,52,53,78,143,144,49,50,143,144,100,101,95,96,97,143,144,144,144,64,65,143,144,145
142,144,73,74,75,78,143,144,71,72,143,149,150,151,152,151,173,173,59,60,60,60,42,64,65,145
142,144,95,96,97,100,101,101,93,94,149,171,143,144,143,144,143,144,59,59,60,60,143,144,143,145
142,144,150,151,152,151,151,151,152,153,171,144,143,144,143,144,143,144,59,59,59,60,143,144,143,145
142,144,143,144,143,144,143,144,143,144,143,144,143,144,143,144,143,144,59,60,60,60,143,144,143,145
142,144,143,144,143,144,143,144,143,144,143,144,143,144,143,144,143,144,59,59,59,60,143,144,143,145
164,165,165,165,165,165,165,165,165,165,165,165,165,166,165,165,165,165,59,60,60,60,165,165,166,167
